Code,Title,Dimension,ParentDimension,ParentCode,ParentTitle
KAZ,Kazakhstan,COUNTRY,REGION,EUR,Europe
KEN,Kenya,COUNTRY,REGION,AFR,Africa
KGZ,Kyrgyzstan,COUNTRY,REGION,EUR,Europe
KHM,Cambodia,COUNTRY,REGION,WPR,Western Pacific
KIR,Kiribati,COUNTRY,REGION,WPR,Western Pacific
KNA,Saint Kitts and Nevis,COUNTRY,REGION,AMR,Americas
KOR,Republic of Korea,COUNTRY,REGION,WPR,Western Pacific
KWT,Kuwait,COUNTRY,REGION,EMR,Eastern Mediterranean
LAO,Lao People's Democratic Republic,COUNTRY,REGION,WPR,Western Pacific
LBN,Lebanon,COUNTRY,REGION,EMR,Eastern Mediterranean
LBR,Liberia,COUNTRY,REGION,AFR,Africa
LBY,Libya,COUNTRY,REGION,EMR,Eastern Mediterranean
LCA,Saint Lucia,COUNTRY,REGION,AMR,Americas
LIE,Liechtenstein,COUNTRY,REGION,EUR,Europe
LKA,Sri Lanka,COUNTRY,REGION,SEAR,South-East Asia
LSO,Lesotho,COUNTRY,REGION,AFR,Africa
LTU,Lithuania,COUNTRY,REGION,EUR,Europe
LUX,Luxembourg,COUNTRY,REGION,EUR,Europe
LVA,Latvia,COUNTRY,REGION,EUR,Europe
MAC,"China, Macao Special Administrative Region",COUNTRY,,,
MAR,Morocco,COUNTRY,REGION,EMR,Eastern Mediterranean
MCO,Monaco,COUNTRY,REGION,EUR,Europe
MDA,Republic of Moldova,COUNTRY,REGION,EUR,Europe
MDG,Madagascar,COUNTRY,REGION,AFR,Africa
MDV,Maldives,COUNTRY,REGION,SEAR,South-East Asia
ME1,The former state union Serbia and Montenegro,COUNTRY,,,
MEX,Mexico,COUNTRY,REGION,AMR,Americas
MHL,Marshall Islands,COUNTRY,REGION,WPR,Western Pacific
MKD,North Macedonia,COUNTRY,REGION,EUR,Europe
MLI,Mali,COUNTRY,REGION,AFR,Africa
MLT,Malta,COUNTRY,REGION,EUR,Europe
MMR,Myanmar,COUNTRY,REGION,SEAR,South-East Asia
MNE,Montenegro,COUNTRY,REGION,EUR,Europe
MNG,Mongolia,COUNTRY,REGION,WPR,Western Pacific
MNP,Northern Mariana Islands,COUNTRY,REGION,WPR,Western Pacific
MOZ,Mozambique,COUNTRY,REGION,AFR,Africa
MRT,Mauritania,COUNTRY,REGION,AFR,Africa
MSR,Montserrat,COUNTRY,REGION,AMR,Americas
MTQ,Martinique,COUNTRY,REGION,AMR,Americas
MUS,Mauritius,COUNTRY,REGION,AFR,Africa
MWI,Malawi,COUNTRY,REGION,AFR,Africa
MYS,Malaysia,COUNTRY,REGION,WPR,Western Pacific
MYT,Mayotte,COUNTRY,REGION,AFR,Africa
NAM,Namibia,COUNTRY,REGION,AFR,Africa
NCL,New Caledonia,COUNTRY,REGION,WPR,Western Pacific
NER,Niger,COUNTRY,REGION,AFR,Africa
NGA,Nigeria,COUNTRY,REGION,AFR,Africa
NIC,Nicaragua,COUNTRY,REGION,AMR,Americas
NIU,Niue,COUNTRY,REGION,WPR,Western Pacific
NLD,Netherlands (Kingdom of the),COUNTRY,REGION,EUR,Europe
NOR,Norway,COUNTRY,REGION,EUR,Europe
NPL,Nepal,COUNTRY,REGION,SEAR,South-East Asia
NRU,Nauru,COUNTRY,REGION,WPR,Western Pacific
NZL,New Zealand,COUNTRY,REGION,WPR,Western Pacific
OMN,Oman,COUNTRY,REGION,EMR,Eastern Mediterranean
PAK,Pakistan,COUNTRY,REGION,EMR,Eastern Mediterranean
PAN,Panama,COUNTRY,REGION,AMR,Americas
PER,Peru,COUNTRY,REGION,AMR,Americas
PHL,Philippines,COUNTRY,REGION,WPR,Western Pacific
PLW,Palau,COUNTRY,REGION,WPR,Western Pacific
PNG,Papua New Guinea,COUNTRY,REGION,WPR,Western Pacific
POL,Poland,COUNTRY,REGION,EUR,Europe
PRI,Puerto Rico,COUNTRY,REGION,AMR,Americas
PRK,Democratic People's Republic of Korea,COUNTRY,REGION,SEAR,South-East Asia
PRS,Pristina,COUNTRY,,,
PRT,Portugal,COUNTRY,REGION,EUR,Europe
PRY,Paraguay,COUNTRY,REGION,AMR,Americas
PSE,"occupied Palestinian territory, including east Jerusalem",COUNTRY,REGION,EMR,Eastern Mediterranean
PYF,French Polynesia,COUNTRY,REGION,WPR,Western Pacific
QAT,Qatar,COUNTRY,REGION,EMR,Eastern Mediterranean
REU,Reunion,COUNTRY,REGION,AFR,Africa
ROU,Romania,COUNTRY,REGION,EUR,Europe
RUS,Russian Federation,COUNTRY,REGION,EUR,Europe
RWA,Rwanda,COUNTRY,REGION,AFR,Africa
SAU,Saudi Arabia,COUNTRY,REGION,EMR,Eastern Mediterranean
SDN,Sudan,COUNTRY,REGION,EMR,Eastern Mediterranean
SDN736,Sudan (former),COUNTRY,REGION,EMR,Eastern Mediterranean
SEN,Senegal,COUNTRY,REGION,AFR,Africa
SGP,Singapore,COUNTRY,REGION,WPR,Western Pacific
SHN,Saint Helena,COUNTRY,REGION,AFR,Africa
SLB,Solomon Islands,COUNTRY,REGION,WPR,Western Pacific
SLE,Sierra Leone,COUNTRY,REGION,AFR,Africa
SLV,El Salvador,COUNTRY,REGION,AMR,Americas
SMR,San Marino,COUNTRY,REGION,EUR,Europe
SOM,Somalia,COUNTRY,REGION,EMR,Eastern Mediterranean
SPM,Saint Pierre and Miquelon,COUNTRY,REGION,AMR,Americas
SRB,Serbia,COUNTRY,REGION,EUR,Europe
SSD,South Sudan,COUNTRY,REGION,AFR,Africa
STP,Sao Tome and Principe,COUNTRY,REGION,AFR,Africa
SUR,Suriname,COUNTRY,REGION,AMR,Americas
SVK,Slovakia,COUNTRY,REGION,EUR,Europe
SVN,Slovenia,COUNTRY,REGION,EUR,Europe
SWE,Sweden,COUNTRY,REGION,EUR,Europe
SWZ,Eswatini,COUNTRY,REGION,AFR,Africa
SXM,Sint Maarten (Dutch part),COUNTRY,REGION,AMR,Americas
SYC,Seychelles,COUNTRY,REGION,AFR,Africa
SYR,Syrian Arab Republic,COUNTRY,REGION,EMR,Eastern Mediterranean
TCA,Turks and Caicos Islands,COUNTRY,REGION,AMR,Americas
TCD,Chad,COUNTRY,REGION,AFR,Africa
TGO,Togo,COUNTRY,REGION,AFR,Africa
THA,Thailand,COUNTRY,REGION,SEAR,South-East Asia
TJK,Tajikistan,COUNTRY,REGION,EUR,Europe
TKL,Tokelau,COUNTRY,REGION,WPR,Western Pacific
TKM,Turkmenistan,COUNTRY,REGION,EUR,Europe
TLS,Timor-Leste,COUNTRY,REGION,SEAR,South-East Asia
TON,Tonga,COUNTRY,REGION,WPR,Western Pacific
TTO,Trinidad and Tobago,COUNTRY,REGION,AMR,Americas
TUN,Tunisia,COUNTRY,REGION,EMR,Eastern Mediterranean
TUR,Türkiye,COUNTRY,REGION,EUR,Europe
TUV,Tuvalu,COUNTRY,REGION,WPR,Western Pacific
TZA,United Republic of Tanzania,COUNTRY,REGION,AFR,Africa
UGA,Uganda,COUNTRY,REGION,AFR,Africa
UKR,Ukraine,COUNTRY,REGION,EUR,Europe
URY,Uruguay,COUNTRY,REGION,AMR,Americas
USA,United States of America,COUNTRY,REGION,AMR,Americas
UZB,Uzbekistan,COUNTRY,REGION,EUR,Europe
VCT,Saint Vincent and the Grenadines,COUNTRY,REGION,AMR,Americas
VEN,Venezuela (Bolivarian Republic of),COUNTRY,REGION,AMR,Americas
VGB,British Virgin Islands,COUNTRY,REGION,AMR,Americas
VIR,Virgin Islands (USA),COUNTRY,REGION,AMR,Americas
VNM,Viet Nam,COUNTRY,REGION,WPR,Western Pacific
VUT,Vanuatu,COUNTRY,REGION,WPR,Western Pacific
WLF,Wallis and Futuna Islands,COUNTRY,REGION,WPR,Western Pacific
WSM,Samoa,COUNTRY,REGION,WPR,Western Pacific
XKX,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),COUNTRY,,,
YEM,Yemen,COUNTRY,REGION,EMR,Eastern Mediterranean
ZAF,South Africa,COUNTRY,REGION,AFR,Africa
ZMB,Zambia,COUNTRY,REGION,AFR,Africa
ZWE,Zimbabwe,COUNTRY,REGION,AFR,Africa
